link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/georgerizz/tell-us-your-valentines-day-plans-and-well-guess-2gdrn,https://www.buzzfeed.com/amphtml/georgerizz/tell-us-your-valentines-day-plans-and-well-guess-2gdrn,2400,502,1180,53,2
https://www.buzzfeed.com/georgerizz,https://www.buzzfeed.com/amphtml/georgerizz,6322,3689,4267,1998,0
https://www.buzzfeed.com/georgerizz,https://www.buzzfeed.com/amphtml/georgerizz,1642,81,3397,123,1
https://www.buzzfeed.com/georgerizz,https://www.buzzfeed.com/amphtml/georgerizz,1426,147,2430,104,2
https://www.buzzfeed.com/garfgarfff/create-an-album-and-well-tell-you-your-celebrity-22hv8,https://www.buzzfeed.com/amphtml/garfgarfff/create-an-album-and-well-tell-you-your-celebrity-22hv8,2169,53,1598,623,0
https://www.buzzfeed.com/garfgarfff/create-an-album-and-well-tell-you-your-celebrity-22hv8,https://www.buzzfeed.com/amphtml/garfgarfff/create-an-album-and-well-tell-you-your-celebrity-22hv8,2182,79,1177,42,1
https://www.buzzfeed.com/garfgarfff/create-an-album-and-well-tell-you-your-celebrity-22hv8,https://www.buzzfeed.com/amphtml/garfgarfff/create-an-album-and-well-tell-you-your-celebrity-22hv8,2180,68,810,41,2
https://www.buzzfeed.com/garfgarfff,https://www.buzzfeed.com/amphtml/garfgarfff,5615,3561,3537,1483,0
https://www.buzzfeed.com/garfgarfff,https://www.buzzfeed.com/amphtml/garfgarfff,1547,97,2856,80,1
https://www.buzzfeed.com/garfgarfff,https://www.buzzfeed.com/amphtml/garfgarfff,1354,51,3540,134,2
https://www.buzzfeed.com/nikkif7/pick-your-fave-cheese-and-well-tell-you-when-you-exx0,https://www.buzzfeed.com/amphtml/nikkif7/pick-your-fave-cheese-and-well-tell-you-when-you-exx0,2164,81,1651,631,0
https://www.buzzfeed.com/nikkif7/pick-your-fave-cheese-and-well-tell-you-when-you-exx0,https://www.buzzfeed.com/amphtml/nikkif7/pick-your-fave-cheese-and-well-tell-you-when-you-exx0,2201,71,856,55,1
https://www.buzzfeed.com/nikkif7/pick-your-fave-cheese-and-well-tell-you-when-you-exx0,https://www.buzzfeed.com/amphtml/nikkif7/pick-your-fave-cheese-and-well-tell-you-when-you-exx0,2439,53,873,44,2
https://www.buzzfeed.com/nikkif7,https://www.buzzfeed.com/amphtml/nikkif7,3626,1950,4880,1844,0
https://www.buzzfeed.com/nikkif7,https://www.buzzfeed.com/amphtml/nikkif7,1696,66,2481,78,1
https://www.buzzfeed.com/nikkif7,https://www.buzzfeed.com/amphtml/nikkif7,1346,106,2831,193,2
